Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,0.36,0.00,0.00,2.26,0.71,0.00,31.6,2.27,0.72,0.16,0.50,0.25,0.25,0.11,0.11,0.11,Matches
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,0.00,0.00,0.00,0.41,0.16,0.00,38.5,0.41,0.16,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,0.27,0.00,0.00,1.72,0.71,0.15,41.4,1.72,0.71,0.16,0.38,0.15,0.15,0.09,0.12,0.12,Matches
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,0.31,0.00,0.00,1.94,0.71,0.00,36.8,1.94,0.72,0.16,0.43,0.23,0.23,0.12,0.07,0.07,Matches
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,0.11,0.00,0.00,1.16,0.32,0.00,28.1,1.15,0.32,0.09,0.33,0.13,0.13,0.11,-0.02,-0.02,Matches
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,0.00,0.00,0.00,0.83,0.83,0.00,100.0,0.85,0.85,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,0.00,0.00,0.00,0.42,0.14,0.00,33.3,0.42,0.14,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,0.03,0.00,0.00,0.71,0.12,0.12,16.7,0.71,0.12,0.04,0.25,0.02,0.02,0.03,0.01,0.01,Matches
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,0.15,0.00,0.00,1.79,0.35,0.25,19.4,1.79,0.35,0.08,0.43,0.06,0.06,0.03,0.08,0.08,Matches
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,0.21,0.04,0.08,2.15,0.68,0.04,31.4,2.15,0.68,0.08,0.25,0.27,0.21,0.10,-0.06,-0.04,Matches
