Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1255,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,21,1996,33.5,62.8,2.57,12.2,35.8,19.9,3.58,61.7,1.37,2.03,67.6,1.49,2,49.5,281.7,146.2,54.2,1566,86.2,1.76,1.28,Matches
1256,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,MFFW,Caen,fr Ligue 1,23,1995,15.0,42.5,0.40,5.00,27.1,12.5,1.33,40.7,1.80,3.00,60.0,1.87,1,30.4,154.6,82.9,35.7,417,77.9,2.07,1.53,Matches
1257,Wahbi Khazri\Wahbi-Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,27,1991,31.3,49.1,0.16,2.84,22.0,27.1,4.92,41.2,1.41,2.52,55.7,1.60,1,34.4,213.2,124.2,46.4,1007,69.4,2.91,2.40,Matches
1258,Rani Khedira\Rani-Khedira,de GER,DFMF,Augsburg,de Bundesliga,24,1994,29.2,54.1,5.79,29.1,23.9,4.28,0.96,53.0,0.10,0.17,60.0,0.10,0,31.8,154.7,74.8,32.7,913,95.7,0.27,0.38,Matches
1259,Sami Khedira\Sami-Khedira,de GER,MF,Juventus,it Serie A,31,1987,7.8,53.7,1.79,8.97,31.9,15.3,3.97,52.8,0.26,0.26,100.0,0.26,1,38.8,167.4,72.4,45.4,312,88.1,0.77,0.38,Matches
1260,Isaac Kiese Thelin\Isaac-Kiese-Thelin,se SWE,FW,Leverkusen,de Bundesliga,26,1992,2.0,31.0,2.00,3.50,15.5,13.0,3.00,30.5,0.00,0.00,,0.00,0,15.0,29.0,5.50,48.0,49,51.0,2.50,2.50,Matches
1261,Kike\Kike,es ESP,FW,Eibar,es La Liga,28,1989,14.4,42.6,0.28,1.74,15.8,26.4,7.15,41.5,0.76,1.11,68.8,0.76,0,26.9,116.6,40.6,63.6,478,52.2,4.03,2.01,Matches
1262,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,21,1997,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches
1263,Joshua Kimmich\Joshua-Kimmich,de GER,DFMF,Bayern Munich,de Bundesliga,23,1995,34.0,98.0,2.68,21.5,50.2,33.0,2.03,85.4,1.18,1.65,71.4,1.26,3,71.7,419.9,217.0,73.1,2353,94.7,1.06,1.00,Matches
1264,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,22,1995,22.3,74.7,5.16,27.8,47.8,4.57,0.27,72.9,0.27,0.58,46.2,0.31,0,54.8,317.2,181.8,55.6,1227,99.0,0.18,0.49,Matches
1265,Joshua King\Joshua-King,no NOR,FW,Bournemouth,eng Premier League,26,1992,32.9,41.3,0.82,4.92,18.8,21.4,5.78,40.4,2.22,3.62,61.3,2.40,5,32.4,269.7,159.8,49.1,1002,62.1,3.47,3.43,Matches
1266,Sofian Kiyine\Sofian-Kiyine,be BEL,MFDF,Chievo,it Serie A,20,1997,9.1,55.4,2.09,11.4,30.8,18.6,1.87,51.1,3.96,5.71,69.2,4.07,3,44.5,318.5,201.5,44.3,339,84.1,2.09,2.64,Matches
1267,Simon Kjær\Simon-Kjaer,dk DEN,DF,Sevilla,es La Liga,29,1989,22.3,52.3,9.24,31.9,21.1,1.35,0.94,50.9,0.13,0.13,100.0,0.13,0,29.1,132.2,63.9,29.9,643,96.5,0.18,0.04,Matches
1268,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,25,1993,31.3,50.9,2.08,9.49,26.5,17.4,1.60,49.5,0.70,0.96,73.3,0.70,1,31.6,125.8,54.7,37.9,983,82.9,1.31,0.73,Matches
1269,Felix Klaus\Felix-Klaus,de GER,FWMF,Wolfsburg,de Bundesliga,25,1992,4.9,42.0,0.61,6.94,17.1,20.6,5.31,41.4,0.41,1.63,25.0,0.61,0,28.4,185.3,105.5,45.5,139,62.3,1.84,1.63,Matches
1270,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,32,1985,13.7,54.6,7.96,29.3,27.6,1.75,0.22,53.0,0.15,0.15,100.0,0.15,0,33.1,238.5,134.3,33.8,459,99.1,0.07,0.22,Matches
1271,Tim Kleindienst\Tim-Kleindienst,de GER,FW,Freiburg,de Bundesliga,22,1995,2.2,40.5,2.27,5.00,22.3,15.5,3.64,39.1,2.27,2.73,83.3,2.27,0,30.9,139.1,73.2,43.2,66,69.5,3.64,1.82,Matches
