Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,5,0.72,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,59,2.81,54,2,0,2,1,9,0.43,9,0,0,0,0,0,Matches
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,26,3.00,18,3,2,2,1,4,0.46,3,0,1,0,0,0,Matches
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,13,0.44,12,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,14,0.65,12,0,0,1,1,3,0.14,3,0,0,0,0,0,Matches
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,1,4.50,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,1,0.05,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,32,1.63,28,1,1,0,2,3,0.15,3,0,0,0,0,0,Matches
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,10,0.54,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,26,1.26,24,0,0,1,1,1,0.05,1,0,0,0,0,0,Matches
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,55,3.46,41,3,2,3,6,8,0.50,6,0,0,0,2,0,Matches
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,2,1.59,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,61,2.76,48,0,4,7,2,7,0.32,6,0,0,1,0,0,Matches
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,82,2.57,40,26,1,6,9,15,0.47,5,7,0,1,2,0,Matches
124,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,3,0.08,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,29,1.31,24,1,1,2,1,6,0.27,5,0,0,1,0,0,Matches
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,72,2.43,60,2,5,2,3,2,0.07,2,0,0,0,0,0,Matches
127,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,9,1.16,7,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27.0,36,1.33,31,0,0,5,0,3,0.11,2,0,0,1,0,0,Matches
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,2,0.06,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,63,3.19,48,4,4,2,5,11,0.56,7,0,1,0,3,0,Matches
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,30,1987,25.0,99,3.96,77,4,8,6,4,15,0.60,12,0,2,0,1,0,Matches
132,Simon Asta\Simon-Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,26,1992,16.6,29,1.75,24,0,0,2,3,4,0.24,3,0,0,1,0,0,Matches
134,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,22,1996,25.1,75,2.98,44,3,17,2,8,3,0.12,1,0,0,1,0,1,Matches
135,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,60,1.98,44,0,6,5,5,12,0.40,7,0,1,2,2,0,Matches
136,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,5,0.14,2,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
137,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,15,2.93,9,0,2,0,4,0,0.00,0,0,0,0,0,0,Matches
138,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,65,1.93,51,10,2,2,0,7,0.21,6,0,0,1,0,0,Matches
139,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,eng Premier League,25,1992,6.3,9,1.44,7,1,1,0,0,2,0.32,2,0,0,0,0,0,Matches
140,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,10.9,21,1.92,14,0,1,5,1,2,0.18,1,0,0,1,0,0,Matches
141,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Huesca,es La Liga,24,1994,22.2,48,2.16,30,1,5,6,6,6,0.27,3,0,0,2,1,0,Matches
142,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,1991,13.1,32,2.44,21,0,2,5,4,4,0.30,3,0,0,1,0,0,Matches
143,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,23,0.85,19,1,0,3,0,1,0.04,1,0,0,0,0,0,Matches
144,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,eng Premier League,29,1988,5.3,14,2.65,11,1,2,0,0,1,0.19,0,0,1,0,0,0,Matches
145,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,52,1.38,49,0,1,0,2,9,0.24,8,0,0,0,1,0,Matches
146,Abdoulaye Ba\Abdoulaye-Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,6,0.26,6,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Florian Baak\Florian-Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
